Date,Description,Amount,Type
2026-04-01,ZOMATO*ORDER 1234,450,debit
2026-04-02,UBER INDIA SYSTEMS PVT LTD,230,debit
2026-04-03,AMAZON SELLER SERVICES,1250,debit
2026-04-04,SWIGGY*INSTAMART,320,debit
2026-04-05,AIRTEL MOBILE RECHARGE,799,debit
2026-04-06,RELIANCE RETAIL LTD,4500,debit
2026-04-07,SHELL PETROL PUMP,2500,debit
2026-04-08,FLIPKART INTERNET,890,debit
2026-04-09,HDFC BANK CREDIT CARD BILL,12500,debit
2026-04-10,SALARY APRIL 2026,75000,credit
2026-04-12,NETFLIX INDIA,499,debit
2026-04-13,STARBUCKS COFFEE,350,debit
2026-04-15,OLA CABS TRAVELS,180,debit
2026-04-18,RESTAURANT VISIT,1850,debit
2026-04-20,ELECTRICITY BILL BESCOM,3200,debit
